SUBJECT,CATALOG_NBR,DESCR,COMPLETED HEADCOUNT,TOTAL HEADCOUNT,A_COUNT,B_COUNT,C_COUNT,D_COUNT,S_COUNT,P_COUNT,N_COUNT,F_COUNT,W_COUNT,GPA,PASS_RATE,W_PERCENT,A_PERCENT,B_PERCENT,C_PERCENT,D_PERCENT,F_PERCENT
DDS,6476,Pros Tech Lab I V,109,109,107,2,0,0,0,0,0,0,0,3.981651376146789,1.0,0.0,0.981651376146789,0.01834862385321101,0.0,0.0,0.0
DDS,7103,Biochem & Cell Bio,109,109,95,14,0,0,0,0,0,0,0,3.871559633027523,1.0,0.0,0.8715596330275229,0.12844036697247707,0.0,0.0,0.0
DENT,7102,Conscious Sedation,14,14,9,5,0,0,0,0,0,0,0,3.642857142857143,1.0,0.0,0.6428571428571429,0.35714285714285715,0.0,0.0,0.0
DES,1000,D@MN: Design@Minnesota,49,50,44,1,4,0,0,0,0,0,1,3.816326530612245,0.98,0.02,0.8979591836734694,0.02040816326530612,0.08163265306122448,0.0,0.0
DES,1001,Introducing College of Design,12,13,8,4,0,0,0,0,0,0,1,3.6666666666666665,0.9230769230769231,0.07692307692307693,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
DES,1101V,Honors: Intro to Dsgn Thinking,13,13,11,1,1,0,0,0,0,0,0,3.769230769230769,1.0,0.0,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.0,0.0
DES,1101W,Intro to Design Thinking,120,122,39,56,17,2,0,0,0,6,2,3.0,0.9180327868852459,0.01639344262295082,0.325,0.4666666666666667,0.14166666666666666,0.016666666666666666,0.05
DES,1111,Creative Problem Solving,53,57,32,16,3,0,0,0,0,2,4,3.4339622641509435,0.8947368421052632,0.07017543859649122,0.6037735849056604,0.3018867924528302,0.05660377358490566,0.0,0.03773584905660377
DES,1401,Beyond the Suburbs,15,15,10,3,1,1,0,0,0,0,0,3.466666666666667,0.9333333333333333,0.0,0.6666666666666666,0.2,0.06666666666666667,0.06666666666666667,0.0
DES,1405W,Building Vision,15,15,12,1,1,1,0,0,0,0,0,3.6,0.9333333333333333,0.0,0.8,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
